prov;a_edu;ingM_fampc
010100;10.550632;694.72595
010200;9.9706125;519.08203
010300;8.9185925;471.83337
010400;8.4637671;293.08514
010500;6.2352281;248.40968
010600;8.1900606;456.70291
010700;8.6516571;461.27164
020100;10.791555;692.36151
020200;8.7151766;430.61069
020300;7.2052245;368.71875
020400;7.5356011;632.65515
020500;8.9221048;583.18799
020600;8.0236216;525.53265
020700;5.4168167;339.3298
020800;10.739701;654.12622
020900;7.0134087;152.48946
021000;8.6808472;549.88983
021100;10.155427;646.07068
021200;7.8616095;543.17151
021300;6.0232244;227.09245
021400;9.223402;538.51715
021500;6.9316525;314.50058
021600;11.047228;761.20538
021700;8.4384508;371.11804
021800;10.882806;676.59528
021900;3.4886365;210.17676
022000;7.3717136;412.18509
030100;11.424808;617.21527
030200;8.202363;444.9408
030300;9.7517281;507.30527
030400;8.4411144;378.99191
030500;7.6205378;494.31427
030600;8.5771198;364.71722
030700;9.7152157;401.81833
040100;12.493973;905.53802
040200;9.9758034;759.66779
040300;9.8829908;637.75751
040400;9.3258095;746.69275
040500;9.6488352;899.38092
040600;8.737834;971.81952
040700;10.893549;842.81012
040800;6.7952662;410.58307
050100;10.907254;591.70734
050200;5.4887023;206.0152
050300;8.4378958;382.42627
050400;8.2453375;363.43448
050500;7.0900855;311.98477
050600;8.4308252;308.21484
050700;9.2834787;604.69543
050800;10.460465;449.57669
050900;6.7355237;335.45624
051000;6.9762526;337.05344
051100;6.9067655;393.09692
060100;9.8567352;614.75873
060200;6.1458716;270.60287
060300;7.5442934;363.37064
060400;6.7992463;345.34644
060500;5.9333725;373.27158
060600;6.7181773;369.40067
060700;7.4502153;406.12115
060800;8.7999182;510.1528
060900;7.4107451;300.20013
061000;6.3982053;339.45007
061100;7.4092259;358.21085
061200;6.9057755;447.73184
061300;8.1460218;254.30528
070100;12.044202;831.09601
080100;12.678144;832.0567
080200;6.9227486;249.31136
080300;8.9597588;371.82578
080400;7.6059093;519.74969
080500;6.902348;231.48373
080600;8.8726616;463.58643
080700;6.9789934;448.92361
080800;8.1731939;394.12238
080900;9.50245;479.48724
081000;5.9974847;179.91499
081100;4.9504123;395.97891
081200;6.7822509;375.1647
081300;9.5394201;569.30536
090100;9.8032827;383.92294
090200;7.5252132;317.2713
090300;7.6289725;319.82272
090400;9.2564669;266.88086
090500;7.1035995;227.18085
090600;8.0009203;341.21817
090700;7.2128177;281.16666
100100;9.4747381;629.71558
100200;7.091187;328.96683
100300;8.229125;420.72073
100400;5.3810873;303.00797
100500;7.6838226;319.46844
100600;8.4013844;570.26971
100700;9.1034794;620.77545
100800;4.1416535;250.4478
100900;8.9875927;411.2077
101000;8.063302;354.04166
101100;7.1999087;330.28506
110100;12.604266;810.74939
110200;11.701483;765.95129
110300;11.786466;859.5473
110400;11.949453;748.96289
110500;11.642975;683.92535
120100;11.813607;732.01831
120200;8.3300457;369.28564
120300;9.0467272;416.53073
120400;10.848999;541.2135
120500;9.9124689;653.87592
120600;8.6630888;431.80554
120700;9.5862932;549.27899
120800;11.488933;603.74377
120900;10.288714;561.55621
130100;11.414391;813.73969
130200;10.860887;649.61707
130300;9.1097765;517.99988
130400;9.0308971;612.07849
130500;4.9969649;243.18839
130600;7.7412553;442.44821
130700;9.5538082;641.39746
130800;6.7133193;443.5835
130900;5.9521513;453.20477
131000;7.1851535;403.33224
131100;7.5163598;408.3606
131200;9.1024809;648.92413
140100;11.102913;684.6972
140200;9.1143951;465.41733
140300;9.3687801;509.88443
150100;12.367077;1082.4843
150200;10.128449;615.70819
150300;7.037847;230.67783
150400;8.987566;605.42572
150500;11.120491;721.78424
150600;9.9216909;638.45673
150700;10.148384;723.68695
150800;10.798343;664.85822
150900;9.1561813;395.48398
151000;9.1881618;420.56091
160100;10.404441;611.54559
160200;8.6887922;502.24701
160300;7.1554747;265.9245
160400;6.8754826;281.13828
160500;7.6122866;299.43777
160600;9.1855993;424.71265
160700;6.6795535;339.23535
170100;11.177177;770.76868
170200;9.3567753;659.0202
170300;9.8269682;769.33875
180100;12.055319;927.76367
180200;9.9200029;423.76254
180300;11.657886;980.80249
190100;10.604968;480.05847
190200;9.5918446;390.64014
190300;9.8660154;470.76108
200100;10.246594;633.70575
200200;7.7327089;364.94043
200300;6.7949886;289.52023
200400;8.5681238;470.99121
200500;8.9813128;610.10522
200600;10.25838;633.96362
200700;10.277099;627.96387
200800;9.7549286;591.94421
210100;11.424635;504.05484
210200;9.6576719;354.63315
210300;8.0098429;296.50241
210400;9.0905085;333.40704
210500;8.7896376;315.6088
210600;9.3975725;277.59885
210700;9.6520758;381.42279
210800;10.047538;322.13168
210900;10.116174;352.88138
211000;10.265833;422.7265
211100;11.291121;639.69238
211200;8.651123;388.06485
211300;6.7515044;248.41418
220100;8.7780037;610.04425
220200;8.7074986;450.18738
220300;6.7338223;400.9184
220400;6.6506863;333.26828
220500;7.7577682;343.67575
220600;8.5297604;505.12854
220700;7.6028457;478.17563
220800;9.50317;576.22479
220900;10.76847;783.64795
221000;9.5254288;597.01752
230100;11.768429;755.08838
230200;8.4018364;312.74359
230300;12.065924;1137.7014
230400;8.3795872;481.18707
240100;11.05829;664.41223
240200;9.5814686;626.73047
240300;9.7073851;589.90857
250100;10.491492;575.52234
250200;7.7403989;367.74551
250300;7.7637849;406.63962
250400;8.6371107;133.6851
